Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 67.0.3396.99,,2018-07-11 14:42:16,2018-07-11 14:42:18,"2,042s",PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-11 14:42:18,2018-07-11 14:42:18,"0,027s",PASSED
Statement - obtenerListaProductos(5),Chrome 67.0.3396.99,,2018-07-11 14:42:18,2018-07-11 14:42:18,"0,000s",PASSED
Statement - listaProductos = [],Chrome 67.0.3396.99,,2018-07-11 14:42:18,2018-07-11 14:42:18,"0,001s",PASSED
"Statement - producto = """"",Chrome 67.0.3396.99,,2018-07-11 14:42:18,2018-07-11 14:42:18,"0,000s",PASSED
"Statement - precio = """"",Chrome 67.0.3396.99,,2018-07-11 14:42:18,2018-07-11 14:42:18,"0,000s",PASSED
"Statement - envio = """"",Chrome 67.0.3396.99,,2018-07-11 14:42:18,2018-07-11 14:42:18,"0,000s",PASSED
"Statement - productos = """"",Chrome 67.0.3396.99,,2018-07-11 14:42:18,2018-07-11 14:42:18,"0,000s",PASSED
"Statement - For ([i = 1, i <= cantidad, (i++)])",Chrome 67.0.3396.99,,2018-07-11 14:42:18,2018-07-11 14:42:20,"1,116s",PASSED
"Statement - listaProductos.eachWithIndex({ java.lang.Object val, java.lang.Object idx -> ... })",Chrome 67.0.3396.99,,2018-07-11 14:42:20,2018-07-11 14:42:20,"0,001s",PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-11 14:42:20,2018-07-11 14:42:20,"0,633s",PASSED
